 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0331E+00 Qsca= 2.0331E+00 Qabs= 0.0000E+00 <cos>= 9.3873E-01
                 Qbk = 1.4257E+00
  theta       S11           POL           S33           S34
  56.69   1.73098E+04   2.17716E-01   1.63189E+04  -4.37267E+03
  57.40   6.49708E+03  -6.58939E-02   4.03985E+03   5.07033E+03
  58.11   7.99548E+03   2.60298E-01   5.51377E+03  -5.40320E+03
  58.82   1.27098E+04   1.42716E-01   1.22852E+04   2.70589E+03
  59.53   1.42391E+03  -7.50197E-01  -9.37463E+02  -8.71703E+01
  60.24   8.63070E+03   2.39990E-01   7.30754E+03  -4.09861E+03
  60.94   7.36953E+03   2.38532E-01   5.40508E+03   4.69094E+03
  61.65   2.40218E+03   3.28730E-01  -3.13237E+02  -2.24695E+03
  62.36   9.02930E+03   2.25374E-01   8.79682E+03  -5.64031E+01
  63.07   2.36328E+03   4.27107E-01   5.11384E+02   2.07479E+03
  63.78   3.18638E+03   1.29993E-01   9.76410E+02  -3.00468E+03
  64.49   6.47632E+03   4.54321E-01   5.39649E+03   2.04043E+03
  65.20   1.87350E+03   5.42253E-01  -4.37935E+02   1.51200E+03
  65.91   3.56192E+03   2.13664E-01   2.90067E+03  -1.92203E+03
  66.61   4.20467E+03   6.35667E-01   3.09959E+03   9.63369E+02
  67.32   1.63490E+03   4.22105E-01  -1.28542E+03   7.37801E+02
  68.03   2.69750E+03   6.39407E-01   1.99372E+03  -5.71544E+02
  68.74   4.17227E+03   5.65264E-01   3.14378E+03   1.40080E+03
  69.45   1.25143E+03   7.17224E-01  -8.49370E+02  -1.97583E+02
  70.16   1.98565E+03   7.88347E-01   7.74984E+02  -9.44348E+02
  70.87   3.51493E+03   6.61270E-01   1.77206E+03   1.95245E+03
  71.57   1.69183E+03   9.90747E-01   2.27174E+02  -3.34215E+01
  72.28   1.62228E+03   5.58952E-01   6.77472E+02  -1.16215E+03
  72.99   2.92479E+03   9.23248E-01   4.57459E+02   1.02639E+03
  73.70   2.05563E+03   8.95267E-01   3.36524E+02   8.51779E+02
  74.41   1.50491E+03   6.68534E-01   7.98476E+02  -7.84207E+02
  75.12   2.15042E+03   9.87974E-01   1.55394E+02  -2.93944E+02
  75.83   2.45671E+03   9.05607E-01  -1.85444E+02   1.02530E+03
  76.54   1.11054E+03   8.43521E-01   5.51198E+02  -2.27933E+02
  77.24   1.45536E+03   8.92077E-01   4.83735E+02  -4.45541E+02
  77.95   1.97515E+03   8.87988E-01  -8.33025E+02   3.62059E+02
  78.66   1.70918E+03   9.47184E-01   5.48110E+02   3.03355E+00
  79.37   1.17787E+03   8.32852E-01   4.00164E+02  -5.14690E+02
  80.08   1.39362E+03   8.35702E-01  -7.60536E+02   8.57043E+01
  80.79   2.08761E+03   9.82743E-01  -1.01523E+02   3.72568E+02
  81.50   2.13958E+03   8.32897E-01   3.69872E+02  -1.12485E+03
  82.20   1.03662E+03   9.74680E-01  -1.07817E+02   2.05190E+02
  82.91   8.21927E+02   5.30399E-01  -2.91407E+02   6.32925E+02
  83.62   1.54805E+03   7.75568E-01  -4.49109E+02  -8.67915E+02
  84.33   2.33574E+03   9.39228E-01  -3.83014E+02  -7.04452E+02
  85.04   1.41585E+03   6.85673E-01   9.84074E+02   3.06195E+02
  85.75   8.13800E+02   9.07881E-01  -2.51069E+02   2.30998E+02
  86.46   1.56799E+03   5.53613E-01  -1.30086E+03  -1.13240E+02
  87.17   1.14173E+03   7.99609E-01   3.47949E+01  -6.84747E+02
  87.87   1.84366E+03   8.77114E-01  -1.17542E+02  -8.77641E+02
